10.0033,9.56678,9.20217,9.0428,9.0743,9.16469,9.13832,9.0729,9.0933,9.19145,9.30617,9.39089,9.43957,9.47099,9.5065,9.56349,9.65642,9.79522,9.97352,10.1312,10.8348,11.086,11.1808,11.2475,11.3243,11.4166,11.5198,9.42936,9.42899,9.4163
9.79427,10.8011,10.0813,9.82162,9.77061,9.82994,9.14183,9.79392,9.81439,9.90357,10.0096,10.0897,10.1386,10.1748,10.2212,10.2983,10.4254,10.6207,10.891,11.1573,11.528,11.7124,11.5756,11.4999,11.4921,11.5418,11.632,11.5425,10.0662,10.4722
9.52236,10.8245,11.5664,10.4805,10.2674,10.2111,9.08956,9.76903,10.2155,10.3103,10.4161,10.4967,10.5485,10.5913,10.6504,10.7501,10.9147,11.1726,11.5627,12.088,10.896,10.2473,10.4652,10.5633,10.6737,10.8209,11.0007,12.0836,11.6103,11.1154
9.34922,10.2245,11.7267,12.0865,10.7899,10.5727,9.76676,9.04074,10.1871,10.5781,10.6914,10.779,10.8368,10.8859,10.954,11.0661,11.2418,12.0505,11.8154,12.2822,11.3885,10.4807,10.4902,10.4948,10.5631,10.6968,10.8824,11.0978,12.1267,12.1031
9.3243,10.1236,10.8308,12.2839,12.4138,10.956,9.12015,10.1278,9.74357,10.5305,10.8727,10.9764,11.0487,11.1059,11.1772,11.2854,12.0211,12.0585,12.2993,10.247,10.4806,10.9998,9.72537,9.30883,9.76984,10.0829,10.38,9.06929,11.2536,12.8077
9.40009,10.157,10.7107,11.1656,12.441,12.2241,10.9874,9.75505,10.8299,10.7006,10.9831,9.30553,11.1932,11.2658,11.3379,11.4291,12.444,11.9886,12.0843,10.4646,10.4901,9.72535,10.5502,9.85449,8.9754,8.90401,8.92695,10.6243,9.8264,13.0032
9.51195,10.2757,10.7506,11.0406,11.1474,12.3911,12.0193,11.0491,11.2704,10.8667,11.0671,9.90742,11.2705,9.42015,11.4444,12.1371,12.4005,11.9251,11.947,10.5618,10.4945,9.30877,9.85449,10.3837,9.98353,9.54521,9.58853,9.68772,10.9117,13.0633
9.59855,9.70551,10.4849,10.7945,10.8228,10.7959,12.3532,12.8697,11.1994,11.8945,11.1802,10.2308,11.3002,10.0218,11.5012,12.1295,12.3578,11.8942,11.887,10.6702,10.5622,9.76965,8.97536,9.98353,10.4426,10.2252,10.0013,10.1083,10.2336,13.2181
9.63785,10.4564,9.91948,9.84084,10.1632,10.2111,10.3126,10.5444,13.0161,12.4176,11.358,10.4953,11.3295,10.3155,11.515,12.1048,12.323,11.894,11.8883,10.8131,10.6944,10.0823,8.9039,9.54519,10.2252,10.6638,10.5586,10.4434,10.5608,13.325
9.64715,10.453,11.0405,10.661,10.6881,10.5231,10.4775,10.6072,10.9016,13.268,12.8298,10.7869,11.4109,10.5131,11.507,12.0647,12.2919,11.913,11.9295,10.9844,10.8769,10.3784,8.92659,9.58846,10.0013,10.5586,10.9749,10.9204,10.8396,13.4527
