0.00345894,0.00303434,0.00271995,0.00259296,0.00261759,0.00268953,0.00266834,0.00261648,0.00263255,0.00271122,0.00280615,0.00287838,0.00292072,0.00294838,0.00297996,0.00303134,0.00311705,0.00324959,0.00342814,0.00359423,0.00546484,0.00665491,0.00746392,0.00814211,0.0088001,0.00947556,0.0101728,0.0029118,0.00291147,0.00290041
0.00324866,0.00610963,0.00435926,0.00403251,0.00397127,0.00404259,0.00267116,0.00399915,0.00402377,0.00413288,0.00426641,0.00437027,0.00443474,0.00448318,0.00454608,0.0046525,0.00483328,0.00512489,0.00555786,0.00602005,0.00759836,0.00936054,0.00948923,0.00971525,0.0100888,0.0106087,0.0112498,0.0106109,0.00433947,0.00553559
0.00299417,0.00615275,0.00946318,0.00554943,0.00520576,0.00511849,0.00262959,0.0039694,0.00512529,0.00527319,0.00544328,0.00557646,0.00566372,0.00573693,0.00583968,0.00601696,0.00632151,0.00682989,0.00767805,0.00898842,0.00452117,0.00372159,0.00489133,0.00568891,0.00641057,0.00716387,0.00798604,0.0151046,0.0111767,0.00826552
0.00284262,0.00455055,0.00992936,0.0128932,0.00663797,0.00621936,0.00396668,0.00259136,0.00508179,0.00622943,0.00644475,0.0066164,0.0067321,0.006832,0.00697301,0.00721147,0.00760192,0.0114602,0.00902926,0.0103866,0.00524091,0.00399147,0.00492822,0.00557328,0.00620138,0.00690205,0.0077077,0.00861127,0.0155661,0.0151932
0.00282145,0.00441492,0.00616431,0.0136797,0.0160628,0.00746025,0.00265384,0.00499219,0.00393919,0.00614105,0.00727625,0.00750606,0.00767072,0.00780338,0.00797222,0.00823522,0.0122492,0.0119574,0.0133155,0.0037213,0.00399139,0.00574223,0.0031822,0.00280839,0.00397035,0.00492537,0.00586999,0.00261366,0.00939221,0.0235075
0.00288634,0.00445929,0.00594623,0.00742993,0.0161947,0.0154712,0.00795417,0.00395277,0.00758707,0.00691003,0.00794398,0.0028056,0.0084609,0.00864712,0.00883617,0.0090814,0.0162089,0.0121301,0.0128845,0.00489042,0.00492801,0.00318218,0.00566661,0.00407247,0.00254106,0.00248722,0.0025044,0.00675366,0.00403829,0.0266531
0.00298484,0.00462103,0.00601782,0.00715645,0.00790111,0.0176484,0.0148163,0.00848629,0.00977907,0.00767146,0.0085324,0.00413766,0.00906928,0.00290376,0.00955488,0.0141622,0.016312,0.0122834,0.0127232,0.00568642,0.00557269,0.00280834,0.00407247,0.00587656,0.00478077,0.00371161,0.00376017,0.00387374,0.00777556,0.0276691
0.0030634,0.00316329,0.00492035,0.00609751,0.00670386,0.00711036,0.0188155,0.025607,0.00924056,0.0140146,0.00918764,0.00514884,0.00952448,0.00428208,0.0101163,0.0144477,0.0163996,0.0125232,0.0128267,0.00640392,0.00619967,0.00397013,0.00254103,0.00478076,0.00639545,0.00560364,0.00480631,0.00496311,0.00515326,0.0301926
0.00309973,0.00487846,0.003373,0.00329436,0.00446762,0.00511849,0.00575239,0.00659363,0.0277802,0.0187444,0.0100394,0.00607654,0.00995415,0.00528148,0.0105238,0.0146407,0.0165101,0.0128538,0.0131435,0.00714718,0.00689725,0.00492455,0.00248714,0.00371159,0.00560363,0.00721838,0.0066219,0.00598271,0.00619715,0.0318395
0.0031084,0.0048734,0.0065646,0.00518729,0.00590596,0.00612746,0.00646274,0.0070968,0.00811905,0.0313,0.0234651,0.00709132,0.0105277,0.00610903,0.0108356,0.0147484,0.0166242,0.0132412,0.0136062,0.00794714,0.00769484,0.00586721,0.00250412,0.00376009,0.00480631,0.0066219,0.0082995,0.00779602,0.00720427,0.0339011
